Fz,FC1,FC2,C3,Cz,C4,CPz,Pz,Inst
-2.8951527754358883,3.629883435055183,-0.90267724171584,4.163865329720535,-0.15911894563068954,4.470412613980332,3.6780165223613097,-0.07257053704265815,g
-4.821083099088398,1.688285367853697,-2.6633253460783815,2.207738052722452,-2.1089735910830196,2.5514760720916367,1.395267087167346,-2.5569728516756007,g
-7.096607429278715,-0.5806386659965496,-4.806317560924549,0.10571597255333894,-4.976492351574398,0.13034030228704124,-0.7301062160030248,-4.511049950304015,g
-9.425153153222666,-2.9450791702524546,-7.101628345836931,-1.8997628805244076,-7.952311130776565,-2.5331928716988825,-2.482859339088937,-5.796476609353552,g
-11.62267991870495,-5.289078061682886,-9.366817258123902,-3.6972660387934964,-10.597402560142072,-5.319569600274615,-3.7960674919793007,-6.3972143306731155,g
-13.690163281682157,-7.4688703639999074,-11.49867567475391,-5.3107080081191524,-12.568316702664394,-8.278723923181445,-4.738452189390885,-6.390414221053532,g
-17.590561508146845,-11.175789019999517,-15.072309276848376,-7.99073668825868,-14.533502446119797,-14.919273176608348,-5.852412064783538,-4.8315160406110556,g
-19.075134961679602,-12.695940644139238,-16.137915772791963,-8.699449764278414,-15.68927606017083,-18.12333120473853,-5.898531272160737,-3.243891775572911,g
-19.806613202974425,-13.574684650212868,-16.348517856598118,-8.677624231106627,-17.02109708654632,-20.542280121408762,-5.364680663527508,-1.1213442697690041,g
-19.806613202974425,-13.574684650212868,-16.348517856598118,-8.677624231106627,-17.02109708654632,-20.542280121408762,-5.364680663527508,-1.1213442697690041,g
-19.661991375273562,-13.472295851370731,-15.653613566379505,-7.964678371752667,-17.53250844054896,-21.776535139776115,-4.260609328276036,1.2822094384554892,g
-18.867856851038376,-12.588712549314177,-14.37378643414804,-6.916975798328636,-16.616279431026086,-21.85712798662877,-2.9301805897347935,3.4758255427940936,g
-17.818302985676453,-11.483524959557792,-12.997577463622306,-5.994234710298914,-14.675752651891207,-21.13823227300951,-1.8599211246250984,4.9671820016751695,g
-16.76206821816279,-10.4708672456471,-11.833674439140356,-5.452980257271354,-12.427469288134471,-19.95423656957198,-1.324070469529662,5.567937907763773,g
-15.677077995580964,-9.475543198619462,-10.882881859550197,-5.226453603348104,-10.309536559480552,-18.41295071800193,-1.2447596008208914,5.472194436785705,g
-14.438847773141163,-8.43403273648427,-10.01129271765949,-5.093466535940559,-8.802135882228857,-16.500001485248713,-1.3966256140867053,5.002666331787623,g
-13.06749332786714,-7.488967446257588,-9.17096715552329,-4.949861468281734,-8.471660033328387,-14.307195135521738,-1.6902006079514493,4.260377288601626,g
-11.773392475991633,-6.737836477071374,-8.442605909198837,-4.904029440780676,-9.10315815059094,-12.111740572361851,-2.23298431798969,3.0228350748557635,g
-10.764734328715335,-6.105113999071272,-7.9281336437022745,-5.121251515823625,-9.402252919040519,-10.249065991846434,-3.167038091956728,0.9822241820389254,g
-10.036589672535388,-5.5672486787016116,-7.6368284586460575,-5.607374931581921,-8.27210206729104,-8.924116556288737,-4.488333609145245,-1.914034596349201,g
-9.36490888754194,-5.237185386474706,-7.44718191738847,-6.16170069558557,-6.093841964655825,-8.118649955529492,-5.990925516612776,-5.32215934796072,g
-8.514965763696297,-5.110930987420057,-7.165286533086286,-6.529680322019208,-4.24192764248993,-7.655978622374751,-7.346100719132572,-8.649914775277843,g
-7.471781098204238,-4.977141007007168,-6.655601421130699,-6.588240963162219,-3.659439551253724,-7.371392307713141,-8.259419467798327,-11.342884302284535,g
-6.484274134428341,-4.706241297806402,-5.93701319555722,-6.393328898225625,-4.34288240151861,-7.24385726443855,-8.598098114226872,-13.085621510616372,g
-5.885998032770085,-4.401311109703089,-5.137877318773221,-6.075944860098007,-5.725881492613583,-7.366152013044785,-8.381056307681364,-13.801689730734765,g
-5.85787228403668,-4.140823218055793,-4.370172437877034,-5.713038481142831,-6.87444876701083,-7.8000747234916314,-7.661580409324725,-13.5158177828014,g
-6.33554631323982,-3.826545712293366,-3.689282663958747,-5.292126511006279,-6.680421893601249,-8.488393081966695,-6.4636116203464,-12.239739055238601,g
-7.097773815348222,-3.4502613966837616,-3.1531340443814484,-4.763292210084198,-4.744097266436674,-9.29322693474756,-4.834932753526277,-9.974137331173514,g
-7.900347482100985,-3.2455499817839617,-2.818486671108448,-4.08341275663877,-2.036815542224035,-10.056660229002741,-2.884683232922504,-6.774656588373153,g
-8.541695440151079,-3.333662806760942,-2.630761224632837,-3.2076095473478303,-0.013302700707212445,-10.60713358614809,-0.7107851084674464,-2.791031692915236,g
-8.888652988751595,-3.436049313731085,-2.3957715376628688,-2.0894755806523824,0.9135291390380132,-10.791042826402695,1.6545134445068697,1.722380070001225,g
-8.925506075179708,-3.2264858451099263,-1.951569349627886,-0.7519062914490566,1.4292396197595867,-10.589728978037163,4.139223695561471,6.375908564601536,g
-8.78215094313837,-2.820925591542235,-1.3562687226833499,0.6280821774309235,2.011269438513987,-10.193261860330942,6.482944024562016,10.622167371895484,g
-8.64730528630306,-2.623699342768563,-0.8458037794701472,1.7482795816277872,2.3878730082899007,-9.874123052361684,8.280814210542406,13.83997082668201,g
-8.587722497317127,-2.776338159589603,-0.5977053801209249,2.358485477731216,2.363564267752944,-9.732586955802727,9.225823759863601,15.54329640512899,g
-8.427779887843759,-3.024664237106331,-0.5513184671092575,2.4562896962106615,2.334047235147767,-9.559443848651183,9.310087433974154,15.587790119988208,g
-7.822560083154244,-3.0508137157737862,-0.4336654366232636,2.3201622719569888,2.65526053586205,-8.953208845910542,8.810956692708643,14.21805774901867,g
-6.506239759419539,-2.672261997919642,0.05188554434751351,2.3196129268018453,3.134660389507668,-7.605813125133767,8.10621967884136,11.916441214193984,g
-4.5562893211696585,-1.813024865295877,0.9850830779482662,2.6288333894428506,3.4471948259367844,-5.569916933465805,7.447784903113917,9.151486482352748,g
-2.4731170659378945,-0.6276650049724857,2.077327210382093,3.0667538482855914,3.460694762085038,-3.3390617916159613,6.804503901785568,6.181976352271949,g
-0.9666956273816737,0.3523615868426643,2.774322290779095,3.207620559399038,2.873256464116511,-1.6461243737325,5.886806556046577,3.0368108101882605,g
-0.5513335375542188,0.5530626877521172,2.619626895607809,2.6957901999658946,1.2310487512439678,-1.0618772300082941,4.389601848902326,-0.3250370417681342,g
-1.2387421059380535,-0.053543587536925105,1.5911237541741474,1.520935146498773,-1.2198270059097909,-1.6854278276801444,2.2745388265985205,-3.812020107376268,g
-2.5795712333830694,-0.9348155493505945,0.08590193799932769,0.033720237983206267,-3.325108357832233,-3.1909017255417664,-0.17908695763903476,-7.132350370549068,g
-4.016283359986918,-1.6239289534129937,-1.41129381840469,-1.296899055423779,-4.2932284462495724,-5.160163533545246,-2.586976213122086,-9.907037769217755,g
-5.248393220117545,-2.1045290120652926,-2.627053303991948,-2.172224584900888,-4.750394325751704,-7.358066909156671,-4.680046710034768,-11.836924629730833,g
-6.339168168869029,-2.5341864752665266,-3.5403026062292766,-2.5816949900675725,-5.931815251167921,-9.730330609269329,-6.330589408953462,-12.778840692204994,g
-7.546730966017224,-2.928504985676669,-4.258092636103244,-2.7089032994943207,-8.156392388155789,-12.231376825796536,-7.461558260555977,-12.717285578350644,g
-9.064312229677183,-3.2804335391461477,-4.892079365587936,-2.7450556843954663,-10.632262374250363,-14.699567579183178,-7.9988576450778295,-11.711984498006192,g
-10.862470521318123,-3.6912142360385176,-5.470627386670349,-2.7523409347060173,-12.363738822819068,-16.85111242775584,-7.872067670377969,-9.86847953863257,g
-12.715757172625185,-4.142226387057403,-5.895490750080766,-2.6459712428298436,-12.592762463589693,-18.348451810239528,-7.002182465044823,-7.320236624274261,g
-14.371354697903183,-4.34513027708893,-6.009585698956627,-2.2810835257491986,-10.7417642926251,-18.91266738574783,-5.313976184576145,-4.216552713057566,g
-16.867267204029645,-3.384326497435783,-5.257988519045735,-0.5921705803250386,-2.0391089501553865,-17.06098166276081,0.2876453959790991,2.9201444870798103,g
-17.97227428328169,-2.6058423473731063,-4.737541580116974,0.4882357325754362,2.215671652956524,-15.037603173661656,3.7001748919666513,6.4812862857715645,g
-19.14489599746822,-1.8296690484056097,-4.364497625698491,1.4506240948172953,5.436272909164734,-12.69665117228999,7.07250946898196,9.694433496266551,g
-19.14489599746822,-1.8296690484056097,-4.36449762569849,1.4506240948172953,5.4362729091647335,-12.69665117228999,7.07250946898196,9.694433496266553,g
-20.341883465883605,-1.0777338539609291,-4.198185467161442,2.1572959316455513,8.198640370704233,-10.361139095948747,10.098928899214506,12.33820577622455,g
-21.389888444814396,-0.4799374292680946,-4.184433485689735,2.610200807281215,10.939667445562568,-8.307489323729344,12.531790013087019,14.253395172854724,g
