Fz,FC1,FC2,C3,Cz,C4,CPz,Pz,Inst
-7.633126166761295,17.40326609470218,-0.900255616254341,-7.290951157410623,6.226125138606074,-11.028330356920513,1.1680871848492358,2.0313213634833955,g
-7.6491457243312055,17.76465365763501,-0.1429785137814484,-7.426056542691934,6.259976624790403,-11.048902606582287,0.7566933361335751,2.0316836508563485,g
-7.670277246778204,18.2795750732761,0.2406346871907404,-7.8450202581451265,7.035447097375611,-10.667320832849853,0.4257275854575383,1.47140855976529,g
-7.697716604218499,18.735920805384776,-0.020054453034725805,-8.764067327282081,7.749068070036364,-10.21522445963222,-0.22874746502354543,0.02733706177368598,g
-7.733253382928808,19.101739385989532,-0.9652514633687715,-10.176038251706867,7.7772399760513995,-9.887201630423176,-1.3743968754158031,-2.275847525340781,g
-5.928658105479946,19.209501019382884,-2.5003305245495846,-11.918267398327192,6.78784555176927,-9.816054826215211,-2.967734099948052,-5.108199800133374,g
-4.200146033443552,18.77513004595023,-4.5017654136459235,-11.99247883996532,4.6364927775805995,-10.133870925238813,-4.873578899048507,-6.295891604127464,g
-2.402221891908836,17.776660002983355,-6.825416479117244,-11.843930299967026,1.6173722570450628,-10.92916853277081,-6.917459487173112,-7.166811956659728,g
-2.4409842216547317,16.530875846366854,-9.270483117967368,-11.371903597981156,-1.4571913510820875,-12.169151074356458,-8.869224411437802,-7.610513398514733,g
-2.470523787301229,15.35971508662063,-11.569951665549583,-10.571805080957954,-3.861408272397058,-13.679939499714925,-10.451329276513047,-7.641522246750067,g
-2.4914307997841396,14.435971196365529,-13.423678913667905,-9.481885881259013,-5.5165778542138675,-15.208116717721603,-11.40683751086297,-8.616417929813347,g
-2.504295470039274,13.934876406793753,-14.601083864244373,-9.566789466605918,-6.711452294258615,-16.55554540526412,-11.600488220484472,-8.706374481969053,g
-2.5097080090024453,13.962322091948383,-15.11223591542713,-9.026487995617618,-7.562800577456306,-17.74029637034347,-11.116738109535856,-7.980276808140557,g
-2.5082586276094654,14.22686348154645,-15.298007210536573,-8.211838368770144,-8.114749876502174,-19.04160944220508,-10.278967009054774,-6.739333789268484,g
-2.5005375367961458,14.138920033359124,-15.653628380243555,-7.579398366237022,-8.656813037621372,-20.802276406849284,-9.495509579320819,-5.427901131438681,g
-2.4871349474982987,13.452793941420726,-16.458948321625634,-7.4116935472219625,-9.392125518411078,-23.09620437309182,-8.981054901451456,-4.409695087969709,g
-2.468641070651737,12.57875600389792,-15.254160263575063,-7.419119246815059,-9.909779525209215,-25.569384316178898,-8.594338474098885,-5.52385629839654,g
-2.445646117192271,12.08156675440349,-13.745621786949737,-7.425572329902541,-9.525020706230602,-27.62815081182568,-7.9789730962064285,-6.9267173751356905,g
-2.4187402980557144,12.08242942804849,-11.948964434825516,-7.417796461103495,-8.16808649830271,-28.81449899708112,-6.894585346957507,-8.282817053551836,g
-2.3885138241778785,12.299909006357947,-11.924608336560919,-7.394447767656331,-6.521593473899612,-29.067384046785396,-5.441873526459569,-9.381581363009179,g
-2.355556906494575,12.401138991670292,-11.800161735669063,-8.85360263826063,-5.287825494380622,-28.71400347711567,-4.018588018025962,-8.93734935497806,g
-2.3204597559416156,12.08055160902332,-12.072208729224915,-8.797298846873897,-4.740790849490907,-28.22710966082239,-3.077425354540533,-8.990678464016767,g
-2.2838125834548135,11.066251810517022,-13.00834484399905,-9.384936440228095,-4.960561124226855,-27.88699015498643,-2.8459855009841837,-9.666182576707282,g
-2.2462055999699797,9.412475478819733,-12.183702604866099,-8.673571606869704,-5.93986716076215,-27.55419310661989,-3.154368871424551,-10.737730243220799,g
-2.208229016422926,7.674671377497954,-11.034073515001827,-7.7484716328461145,-7.288450438767112,-26.74606486163725,-3.492639876311357,-11.689210145195215,g
-2.1704730437494657,6.48176759644876,-9.266137975120255,-6.2820292455673705,-8.311800078865337,-24.997459268306258,-3.312157411352209,-11.971037764622471,g
-2.133527892885409,5.971127111006849,-11.182123957129427,-7.950095716386673,-8.652592729085939,-22.215985937922312,-2.377360858965518,-11.313572831281103,g
-2.0644309003287575,5.819976860652023,-13.820332780645677,-9.924282309056936,-8.25773567961259,-15.123064222935184,0.648045884773693,-8.171883296341107,g
-2.0334594805077866,5.752632756441865,-13.100663183505276,-10.586208916637052,-7.784692037660848,-11.823786486916884,1.771731323930934,-6.681929852871609,g
-2.0056597262394686,5.394048995390447,-12.879548725661866,-9.893479963877777,-7.198900173709973,-9.078759302208681,2.1854684348820697,-5.703709705317332,g
-2.0056597262394686,5.394048995390447,-12.879548725661863,-9.893479963877777,-7.198900173709973,-9.078759302208681,2.1854684348820697,-5.703709705317332,g
-1.9816218484596146,4.489773811364015,-13.008704746513814,-9.602806502821105,-6.984659163289867,-6.878864461792031,1.84615396705013,-5.256619471116591,g
-1.9619360581040368,3.1465046381411903,-11.139827108327484,-9.435547252205449,-7.51975244964156,-5.056166850728495,0.9199606538081009,-5.184129900176671,g
-1.9471925661085474,1.8021792055738501,-11.137832534545819,-10.931679885672803,-8.523827231807548,-3.410433497557328,-0.32392366251910487,-5.278814823986392,g
-1.9379815834089587,0.7591819424254304,-11.117909570509394,-12.378502058414943,-9.386129183172566,-1.8033081874854915,-1.6525309037023437,-5.384106682024537,g
-1.9348933209410824,-0.002452079585497158,-12.907013621548899,-13.569684352905346,-9.818665735764649,-0.1707065731225656,-2.9579457932885154,-5.458219894456872,g
-1.93851798964073,-0.5417029182900588,-12.383605852242749,-12.71638562579972,-9.858791320307208,1.49679018122773,-4.251477953032788,-5.581376936931042,g
-1.949445800443715,-0.8306829709581365,-11.960652440784253,-12.032382622832174,-9.519273728275337,3.1375951080166606,-5.608148803780101,-5.901223302691001,g
-3.8767322501186237,-1.007794527124597,-11.711365434815253,-11.720833574314742,-8.899803767784881,4.621057633979953,-7.098085479903153,-6.540426710214851,g
-5.874764193729065,-1.4067634389708068,-11.634508985549159,-11.881093207800022,-8.44148022824278,5.869506540961011,-8.67942616492427,-7.492763053061668,g
-5.910119124895953,-2.1220049058984802,-11.580493929576988,-12.422360919125577,-8.523007710614618,7.032464355102323,-10.085235321229408,-8.541007818256762,g
-5.951869419858277,-2.787696383898769,-11.2724778045373,-13.063501909125563,-8.824264739844349,8.492530586110853,-10.8549250374407,-9.271697144346728,g
-5.996536418720224,-2.989070426792014,-12.519118512328006,-13.456380547213758,-8.542000680775311,10.621206142263174,-10.588034410489898,-9.25091655710358,g
-6.038922948781705,-2.695903812558328,-13.396848983928901,-13.365558253913155,-7.262279080190369,13.483475366280567,-9.245986220988152,-8.289372256451255,g
-6.07211332453837,-2.133498353595219,-13.891899829146103,-12.788203187255812,-5.266428598627003,16.74610197012692,-7.2283806853009285,-6.59254278164308,g
